	T0.C1	T0.C2	T0.C3	T0.T1	T0.T2	T0.T3	T3.C1	T3.C2	T3.C3	T3.T1	T3.T2	T3.T3	T5.C1	T5.C2	T5.C3	T5.T1	T5.T2	T5.T3	T7.C1	T7.C2	T7.C3	T7.T1	T7.T2	T7.T3
16S_ASV_238	7	0	3	5	9	0	1	3	2	179	225	78	4	6	0	29	48	5	1	0	4	8	24	13
16S_ASV_239	0	0	0	0	0	1	0	1	0	34	31	19	2	0	0	0	22	3	1	2	0	418	106	13
16S_ASV_240	0	0	0	0	0	0	196	250	184	2	0	2	0	1	0	0	0	0	1	8	8	0	0	0
16S_ASV_241	0	0	0	0	1	1	200	231	195	2	2	3	0	0	1	0	0	0	7	5	3	0	0	0
16S_ASV_242	25	49	27	37	44	47	3	12	5	31	25	32	19	45	45	26	19	29	26	35	29	10	13	14
16S_ASV_243	0	0	0	5	0	1	15	21	16	18	5	56	20	23	1	261	47	105	12	0	8	8	22	2
16S_ASV_244	0	0	0	0	1	6	227	222	180	1	1	1	2	0	0	0	0	0	3	1	1	0	0	0
16S_ASV_245	0	0	0	0	0	0	1	0	0	4	8	11	0	5	0	9	40	12	7	1	8	93	238	203
16S_ASV_246	111	112	26	71	116	0	4	7	5	13	10	47	27	41	1	6	12	3	0	5	14	1	3	1
16S_ASV_247	0	0	0	0	0	3	5	9	15	0	3	6	4	0	0	40	214	244	3	0	0	13	56	20
16S_ASV_248	0	0	0	4	99	0	40	92	30	14	3	6	28	0	0	63	19	51	48	1	11	2	91	27
16S_ASV_249	0	0	0	0	4	1	225	217	167	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0
16S_ASV_250	3	0	0	2	0	1	22	154	402	3	0	0	1	0	0	0	9	2	3	5	10	0	0	0
16S_ASV_251	0	0	0	1	3	1	14	3	9	3	0	19	21	0	12	40	130	158	11	13	4	44	96	29
16S_ASV_252	103	161	47	82	160	0	1	7	9	20	1	0	8	1	1	3	3	0	0	0	0	0	1	0
16S_ASV_253	0	0	0	0	0	0	134	210	251	0	1	3	0	0	2	0	0	0	0	1	4	0	0	0
16S_ASV_254	0	0	0	6	1	2	219	180	173	1	0	3	0	2	1	0	0	0	4	3	5	0	0	0
16S_ASV_255	23	60	20	6	18	0	6	1	4	24	33	21	5	5	6	3	5	4	126	45	154	5	4	21
16S_ASV_256	0	0	0	2	1	1	214	208	131	3	2	2	0	11	0	1	0	4	4	2	3	0	0	0
16S_ASV_257	1	52	11	94	1	37	7	3	3	0	0	0	0	3	1	7	0	4	2	4	346	2	1	0
16S_ASV_258	0	0	0	1	1	0	3	19	4	44	54	132	0	0	0	9	51	4	1	3	1	129	89	28
16S_ASV_259	0	0	0	0	0	1	181	186	174	0	1	0	0	3	0	0	0	0	5	12	7	0	0	0
16S_ASV_260	6	0	4	0	1	0	15	2	18	0	3	2	4	11	3	0	1	2	235	4	248	3	1	3
16S_ASV_261	5	7	9	1	0	0	5	3	0	6	11	29	86	67	36	22	22	5	6	6	3	101	84	52
16S_ASV_262	0	1	0	7	3	0	6	7	9	0	2	0	1	0	0	343	118	56	0	1	0	3	7	0
16S_ASV_263	0	0	0	2	0	0	1	10	3	66	42	47	2	0	0	37	136	62	1	1	0	45	69	38
16S_ASV_264	151	16	14	47	81	0	26	17	24	37	18	28	29	5	5	6	4	1	5	0	6	1	26	7
16S_ASV_265	23	38	28	28	28	39	7	1	2	14	19	34	23	39	31	24	22	35	25	25	28	18	10	13
16S_ASV_266	0	0	0	1	0	1	142	194	197	3	2	0	0	1	0	0	0	0	1	4	4	0	0	0
16S_ASV_267	0	0	0	2	0	0	129	219	182	0	0	0	0	4	0	0	0	0	3	8	1	0	0	0
16S_ASV_268	0	4	2	0	0	1	2	2	5	10	11	49	11	24	7	1	32	8	49	11	24	76	120	98
16S_ASV_269	0	0	0	0	3	1	14	23	87	105	81	78	11	12	3	6	55	10	5	0	13	19	14	3
16S_ASV_270	0	0	0	1	2	0	24	4	18	0	0	0	0	0	0	26	349	113	2	2	0	0	0	0
16S_ASV_271	1	0	0	1	1	0	139	203	166	2	1	3	2	1	0	0	0	0	8	9	3	0	0	0
16S_ASV_272	2	0	0	0	2	0	11	4	8	0	0	0	6	17	12	1	0	0	167	72	227	1	2	6
16S_ASV_273	0	0	0	2	4	1	98	189	237	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
16S_ASV_274	0	0	0	0	4	2	1	4	6	31	28	25	1	12	0	56	101	63	8	7	7	53	75	41
16S_ASV_275	0	0	0	0	1	1	15	79	97	0	5	0	165	52	12	0	0	0	71	22	3	0	0	2
16S_ASV_276	0	0	0	0	0	0	162	182	159	0	0	3	0	0	1	0	0	0	0	6	1	8	0	0
16S_ASV_277	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	1	2	338	30	134	0	1	1
16S_ASV_278	0	0	0	0	0	0	8	4	4	0	0	0	9	4	0	3	1	5	258	75	143	0	4	0
16S_ASV_279	0	0	0	0	1	0	0	8	5	12	97	12	7	0	4	19	8	2	4	4	2	162	120	49
16S_ASV_280	0	0	0	0	0	0	157	241	108	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0
16S_ASV_281	0	0	15	2	0	0	210	41	88	5	32	26	0	0	0	5	17	30	5	0	2	0	2	29
16S_ASV_282	0	0	0	0	0	7	177	149	152	1	1	2	2	4	0	0	0	2	4	1	0	0	0	0
16S_ASV_283	28	30	33	36	32	25	3	7	7	27	18	27	29	15	32	21	19	16	22	19	24	10	10	11
16S_ASV_284	71	52	48	25	24	0	3	8	11	9	13	12	49	10	8	6	17	24	0	1	3	36	58	11
16S_ASV_285	0	0	0	0	1	1	0	3	3	20	5	21	3	9	0	21	51	24	4	2	4	125	124	73
16S_ASV_286	0	0	0	1	3	3	11	17	7	63	8	12	0	0	0	34	104	101	1	0	2	28	69	28
16S_ASV_287	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	4	1	4	0	2	268	8	195
16S_ASV_288	0	0	0	0	0	0	0	0	0	2	20	2	0	0	0	8	15	1	1	1	1	139	212	81
16S_ASV_289	0	1	0	0	2	0	0	0	1	9	6	9	13	27	3	9	72	3	14	7	11	68	114	113
16S_ASV_290	27	27	27	27	20	34	2	3	5	16	18	27	15	32	37	24	15	26	10	28	27	11	7	14
16S_ASV_291	0	0	0	0	1	2	8	6	10	35	62	17	26	15	2	14	67	10	15	6	6	78	80	18
16S_ASV_292	0	0	0	0	1	6	156	136	152	3	0	3	1	12	0	0	0	0	2	2	4	0	0	0
16S_ASV_293	7	62	21	39	71	174	1	1	5	0	2	12	3	31	11	1	7	3	4	0	16	0	4	2
16S_ASV_294	0	0	0	0	0	0	1	0	5	4	1	4	2	0	0	10	65	42	6	0	0	81	92	164
16S_ASV_295	28	22	18	33	20	39	2	5	6	22	20	20	25	28	36	19	21	24	15	28	21	10	2	12
16S_ASV_296	4	29	23	62	48	57	13	10	7	4	22	14	0	9	4	25	29	40	6	6	4	21	19	15
16S_ASV_297	0	0	0	0	1	1	0	1	0	1	6	1	0	0	0	8	104	84	3	0	0	59	84	116
16S_ASV_298	330	0	1	0	0	2	12	3	2	0	0	0	11	0	0	4	8	56	11	0	19	2	0	4
16S_ASV_299	0	0	0	0	1	1	19	20	49	0	2	2	6	3	4	55	56	138	16	34	8	17	31	3
16S_ASV_300	0	0	0	1	4	0	121	198	125	4	1	1	1	1	0	0	0	0	0	1	3	0	0	0
16S_ASV_301	24	33	21	53	113	0	0	1	0	2	0	4	44	58	20	0	1	0	33	7	30	2	7	5
16S_ASV_302	0	0	0	0	0	2	0	1	4	51	72	102	9	7	23	8	22	1	3	2	10	79	42	19
16S_ASV_303	25	24	25	29	11	45	11	2	8	20	20	19	22	34	34	12	16	19	21	20	14	10	5	8
16S_ASV_304	0	0	0	0	0	1	10	31	17	12	7	61	1	0	0	22	32	32	11	6	9	45	77	80
16S_ASV_305	0	0	0	4	1	1	4	2	5	179	95	9	6	1	0	65	41	29	0	1	0	4	2	3
16S_ASV_306	0	0	6	0	2	3	0	0	0	5	0	19	3	2	1	3	30	156	21	3	10	43	14	130
16S_ASV_307	0	0	0	0	1	0	213	124	96	2	4	2	0	1	2	0	0	0	0	2	2	0	0	1
16S_ASV_308	0	0	0	3	3	10	12	11	5	0	1	4	0	0	0	10	141	217	8	1	18	2	1	1
16S_ASV_309	0	0	0	2	1	1	196	146	94	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0
16S_ASV_310	0	0	0	0	1	0	0	3	9	1	3	1	293	29	13	0	1	0	80	7	3	3	0	1
16S_ASV_311	4	0	67	0	0	0	6	0	7	0	0	3	0	0	1	0	1	2	148	10	191	5	0	1
16S_ASV_312	0	0	0	2	0	0	190	148	99	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0
16S_ASV_313	0	0	0	0	1	0	0	0	0	12	18	1	0	4	0	14	36	4	2	3	1	142	113	90
16S_ASV_314	216	0	0	0	0	0	0	0	0	0	0	1	9	39	2	14	1	10	40	0	91	1	6	9
16S_ASV_315	0	0	1	0	2	1	1	0	0	2	4	6	3	0	0	51	103	67	0	1	5	57	76	58
16S_ASV_316	125	39	24	3	52	33	3	8	4	1	2	0	16	5	1	4	5	30	21	14	3	36	6	1
16S_ASV_317	0	0	0	1	0	0	4	7	12	22	22	30	0	0	0	26	78	44	0	2	4	39	120	25
16S_ASV_318	0	0	0	0	0	1	3	7	15	20	12	17	2	0	0	131	90	65	2	0	1	33	17	19
16S_ASV_319	0	0	1	0	2	0	5	1	9	56	24	47	20	0	2	23	17	33	13	2	13	59	61	45
16S_ASV_320	0	0	0	1	1	21	97	157	141	1	4	1	3	0	0	0	0	1	1	1	3	0	0	0
16S_ASV_321	25	29	15	16	16	63	4	1	0	26	21	14	11	32	27	14	13	14	10	21	30	17	0	12
16S_ASV_322	0	0	4	1	1	0	1	2	0	18	5	123	15	2	7	5	12	6	1	1	0	87	59	81
16S_ASV_323	5	0	0	1	0	1	298	36	80	0	0	0	0	0	0	0	1	2	2	3	1	0	0	0
16S_ASV_324	4	21	4	41	6	91	5	4	0	6	9	13	17	66	73	1	4	4	9	23	6	12	5	3
16S_ASV_325	61	114	44	0	1	1	1	0	4	7	3	15	4	18	13	7	17	1	25	1	1	18	42	28
16S_ASV_326	0	0	0	1	0	1	31	24	30	3	0	1	0	0	0	51	64	118	2	1	0	34	28	37
16S_ASV_327	0	0	0	0	0	0	0	0	4	0	4	4	0	0	0	0	5	0	1	3	0	48	137	219
16S_ASV_328	0	0	0	0	1	2	7	9	10	10	20	18	16	5	5	11	30	4	7	6	6	107	90	57
16S_ASV_329	4	4	0	0	3	0	6	3	2	14	35	16	0	5	2	0	1	0	145	9	162	8	0	1
16S_ASV_330	0	0	0	0	0	2	137	154	102	4	3	1	0	0	0	0	0	0	4	9	4	0	0	0
16S_ASV_331	140	0	2	1	0	2	11	0	8	21	12	0	1	0	1	1	0	0	22	6	191	0	0	0
16S_ASV_332	2	1	3	0	0	0	0	0	2	5	4	116	24	14	15	1	0	47	1	1	8	44	102	29
16S_ASV_333	34	3	13	3	5	0	6	26	28	29	8	25	10	0	0	117	37	31	2	2	4	9	9	17
16S_ASV_334	50	58	28	8	33	20	6	6	13	2	27	10	56	21	9	2	8	4	5	10	5	18	5	10
16S_ASV_335	0	0	0	0	3	0	161	115	128	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
16S_ASV_336	0	0	0	2	0	1	72	191	119	2	2	2	0	2	17	0	0	0	0	1	1	0	0	0
16S_ASV_337	0	0	0	0	0	0	0	1	0	2	4	5	15	12	7	7	45	11	2	1	4	99	146	49
16S_ASV_338	0	0	0	1	0	1	101	160	133	0	1	0	0	0	0	0	0	0	5	0	3	0	0	0
16S_ASV_339	0	0	0	0	0	1	133	151	111	0	2	1	0	1	0	0	0	0	2	2	1	0	0	0
16S_ASV_340	0	0	0	0	0	2	124	151	117	0	1	0	0	4	0	0	0	0	1	1	3	0	0	0
16S_ASV_341	0	0	0	1	0	0	5	9	4	32	23	28	2	9	2	8	31	28	10	0	10	74	60	67
16S_ASV_342	0	0	0	3	0	0	25	7	40	21	5	9	0	0	0	45	57	101	2	0	0	17	16	53
16S_ASV_343	0	0	0	2	0	0	74	45	37	18	1	1	0	0	0	176	18	12	0	0	0	5	10	1
16S_ASV_344	0	0	0	0	0	0	8	8	10	24	27	18	3	0	0	8	47	32	2	0	2	21	106	83
16S_ASV_345	5	0	0	0	3	1	13	7	13	6	2	25	2	0	0	20	104	86	2	1	0	36	42	29
16S_ASV_346	0	0	0	0	0	1	162	112	112	0	3	0	0	0	0	0	0	0	0	1	3	0	0	0
16S_ASV_347	0	0	0	1	2	1	150	132	93	0	1	1	0	0	0	0	0	0	6	4	0	0	0	0
16S_ASV_348	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	3	0	0	249	4	120	3	1	2
16S_ASV_349	12	0	1	10	0	3	9	9	9	41	6	29	11	0	0	18	20	123	16	1	12	12	14	32
16S_ASV_350	7	0	3	0	0	2	2	0	0	5	3	3	20	78	6	2	20	44	92	9	23	30	21	18
16S_ASV_351	2	0	0	3	1	1	53	16	16	0	0	1	0	0	0	102	82	91	6	2	0	0	3	8
16S_ASV_352	0	19	0	6	3	1	3	0	2	2	8	15	19	72	45	7	26	9	1	7	45	67	19	8
16S_ASV_353	0	0	0	0	0	0	117	148	94	3	0	0	0	9	0	0	0	0	4	3	6	0	0	0
16S_ASV_354	0	0	0	0	0	0	66	177	125	1	3	2	0	0	1	0	0	0	0	5	4	0	0	0
16S_ASV_355	0	0	0	0	0	1	1	1	4	35	31	80	39	4	0	2	11	6	2	0	9	74	31	52
16S_ASV_356	23	22	23	22	19	26	7	1	1	21	15	21	14	21	27	19	10	15	13	17	25	8	4	8
16S_ASV_357	1	4	0	1	0	7	0	0	0	0	0	0	22	4	19	16	3	266	13	14	8	1	0	1
16S_ASV_358	0	0	0	3	2	1	11	22	25	34	17	14	13	5	0	101	26	18	2	23	8	11	16	27
16S_ASV_359	0	0	0	1	0	2	131	103	137	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0
16S_ASV_360	0	0	0	2	0	0	0	2	1	1	16	10	2	0	0	2	4	3	6	1	5	18	287	17
16S_ASV_361	1	26	11	51	4	9	6	0	6	0	0	1	0	1	0	0	3	0	3	0	251	1	1	0
16S_ASV_362	0	18	7	24	4	67	1	2	4	2	17	14	6	92	48	7	5	6	4	4	11	3	16	13
16S_ASV_363	0	0	0	0	2	1	112	132	115	1	2	1	0	0	0	0	0	0	3	4	1	0	0	0
16S_ASV_364	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	5	3	2	2	3	1	103	198	51
16S_ASV_365	0	0	0	0	1	3	0	0	2	40	29	39	3	4	0	8	65	114	2	1	0	22	27	10
16S_ASV_366	0	0	0	0	2	3	15	22	46	0	0	5	0	0	0	67	69	119	3	0	1	7	2	8
16S_ASV_367	0	0	0	2	0	0	1	0	0	247	33	77	1	0	0	0	0	0	0	0	0	4	0	2
16S_ASV_368	0	0	10	0	1	1	13	4	10	15	14	79	32	19	29	3	19	5	7	0	5	34	2	64
16S_ASV_369	0	0	0	2	0	0	0	0	0	18	218	2	0	0	1	14	6	0	2	1	1	41	34	25
16S_ASV_370	0	0	0	0	6	5	22	25	65	1	0	1	4	0	0	56	158	11	1	1	3	0	2	2
16S_ASV_371	0	0	0	0	1	0	62	142	145	3	0	0	0	0	1	0	0	0	0	1	4	0	0	0
16S_ASV_372	0	0	0	0	1	0	0	0	2	39	30	43	11	4	3	16	32	24	4	6	11	56	33	44
16S_ASV_373	0	6	0	0	2	0	10	18	20	7	1	11	0	0	0	23	87	38	1	6	0	33	3	91
16S_ASV_374	0	0	0	4	0	0	1	1	3	0	1	0	0	0	0	136	21	13	81	1	48	6	27	13
16S_ASV_375	0	0	0	0	0	1	98	137	107	0	0	0	4	1	0	0	0	0	2	1	5	0	0	0
16S_ASV_376	0	0	0	0	0	4	25	39	95	4	0	1	0	0	0	14	36	124	2	2	2	3	0	4
16S_ASV_377	0	0	0	0	0	0	0	0	0	8	9	10	0	0	0	0	0	0	2	1	8	98	141	78
16S_ASV_378	0	0	0	0	1	0	145	95	93	2	0	0	1	2	3	0	0	0	5	4	1	0	0	0
16S_ASV_379	0	0	0	2	1	2	5	2	9	0	0	0	0	0	0	26	207	92	2	1	0	1	1	0
16S_ASV_380	317	2	0	0	0	0	2	3	3	0	0	0	9	0	0	4	1	9	0	0	0	0	0	0
16S_ASV_381	0	0	0	3	0	0	12	10	15	140	5	30	0	5	1	48	20	22	16	1	8	8	3	3
16S_ASV_382	0	0	0	0	0	1	0	2	2	13	8	5	0	0	12	7	21	12	16	15	3	61	118	53
16S_ASV_383	0	0	0	0	0	0	59	145	141	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0
16S_ASV_384	0	0	0	0	0	0	11	20	18	25	2	8	1	0	0	50	38	77	2	1	3	23	14	56
16S_ASV_385	0	0	0	0	0	1	85	137	108	5	3	2	0	0	0	0	0	0	1	5	1	0	0	0
16S_ASV_386	13	16	0	92	43	36	5	5	13	30	9	9	6	11	12	7	4	1	8	5	2	7	6	6
16S_ASV_387	0	5	10	1	1	0	0	1	2	23	15	20	8	2	1	30	44	57	13	0	8	26	41	34
16S_ASV_388	0	0	0	0	5	3	22	48	94	0	0	0	0	0	0	8	94	65	1	0	2	0	0	0
16S_ASV_389	0	0	0	0	0	0	148	125	63	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0
16S_ASV_390	0	0	0	0	0	0	4	3	3	16	20	6	0	0	0	2	0	3	159	8	114	0	0	3
16S_ASV_391	0	0	0	0	0	0	1	0	0	35	7	11	0	0	0	0	45	9	54	0	15	58	6	97
16S_ASV_392	0	0	0	0	0	0	0	6	7	115	27	93	12	0	0	7	3	0	5	0	4	9	14	29
16S_ASV_393	15	5	5	0	2	0	5	6	3	90	151	1	0	0	3	1	2	0	14	4	14	1	8	0
16S_ASV_394	0	0	0	0	1	2	18	12	33	28	8	6	0	0	0	104	70	32	2	0	2	0	5	6
16S_ASV_395	0	0	0	0	0	0	118	126	78	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0
16S_ASV_396	0	0	0	0	1	0	0	0	0	4	3	0	3	21	0	16	22	7	8	2	1	81	86	73
16S_ASV_397	0	0	0	6	2	1	6	3	9	22	5	4	0	0	0	77	81	58	0	2	2	34	3	12
16S_ASV_398	0	0	0	0	0	0	1	0	3	63	24	18	0	0	0	7	31	1	0	0	0	99	66	12
16S_ASV_399	0	0	0	0	0	1	44	146	126	2	0	1	0	1	0	0	0	0	2	0	1	0	0	0
16S_ASV_400	0	0	0	1	3	7	1	0	2	0	0	1	0	0	0	44	47	206	0	1	0	1	0	8
16S_ASV_401	0	0	0	0	0	0	0	0	0	89	71	84	35	0	0	3	1	9	0	0	1	20	2	7
16S_ASV_402	0	0	0	0	1	0	93	117	106	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
16S_ASV_403	0	9	5	2	0	0	0	0	2	24	15	190	3	5	0	0	17	1	0	0	0	13	24	9
16S_ASV_404	0	0	0	0	1	0	0	0	0	18	12	17	0	0	0	1	60	6	3	2	6	37	104	51
16S_ASV_405	0	0	0	2	4	0	0	1	0	17	5	121	0	0	1	33	33	85	9	1	4	0	0	0
16S_ASV_406	0	7	0	0	1	2	1	0	0	78	15	39	0	0	0	0	46	31	0	5	0	4	31	54
16S_ASV_407	0	0	0	2	0	4	7	4	9	0	0	0	0	0	0	83	19	177	0	0	1	3	4	1
16S_ASV_408	132	29	60	0	9	0	0	1	0	6	2	1	0	4	0	5	9	8	0	0	0	32	9	6
16S_ASV_409	0	0	0	0	0	1	104	125	79	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
16S_ASV_410	20	7	23	12	21	2	0	3	0	35	31	23	34	19	4	0	0	0	0	19	1	22	11	25
16S_ASV_411	3	3	2	2	8	1	0	0	1	18	49	1	3	0	0	43	9	10	0	1	3	32	106	17
16S_ASV_412	0	0	0	2	1	0	0	3	0	97	5	0	0	0	0	109	66	10	0	0	0	1	9	9
16S_ASV_413	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	25	29	28	0	1	1	45	73	103
16S_ASV_414	0	0	0	0	2	1	9	11	5	7	9	12	4	0	0	33	56	41	1	0	0	28	16	75
16S_ASV_415	2	0	0	0	0	1	22	7	18	28	8	11	13	0	3	6	4	145	31	0	7	0	0	3
16S_ASV_416	0	0	0	8	0	0	4	4	4	20	11	16	10	12	2	16	50	4	5	0	8	54	62	18
16S_ASV_417	0	0	0	3	0	21	6	14	37	0	0	0	0	0	0	202	2	17	0	6	0	0	0	0
16S_ASV_418	0	0	0	3	2	3	0	0	0	0	4	6	0	0	0	95	49	95	10	1	4	10	10	14
16S_ASV_419	0	0	0	0	0	0	108	94	95	0	4	0	0	0	0	0	0	0	1	2	2	0	0	0
16S_ASV_420	0	0	0	0	0	0	0	0	0	13	22	19	3	0	1	5	13	8	1	0	1	74	114	32
16S_ASV_421	0	0	0	0	0	0	0	0	0	2	3	5	1	0	0	8	1	0	0	0	0	109	120	55
16S_ASV_422	0	0	0	0	0	2	16	34	79	0	0	3	0	0	0	44	71	43	1	0	4	1	0	3
16S_ASV_423	225	25	20	0	17	0	0	1	0	1	3	0	4	0	0	0	1	0	0	0	0	0	1	1
16S_ASV_424	0	0	0	2	0	0	66	113	110	5	0	0	0	0	0	0	0	0	1	1	1	0	0	0
16S_ASV_425	44	9	9	2	8	2	7	2	9	0	1	0	23	60	2	0	0	0	41	53	24	0	0	1
16S_ASV_426	0	0	0	0	0	0	5	4	6	37	25	4	4	4	0	77	15	3	1	4	0	39	27	42
16S_ASV_427	0	0	0	0	0	0	3	0	2	36	29	51	57	14	12	2	0	0	72	1	4	2	4	8
16S_ASV_428	0	0	0	1	1	0	21	26	44	21	26	25	0	1	0	64	48	10	0	0	0	6	1	1
16S_ASV_429	0	0	0	0	0	2	89	101	94	2	0	0	1	0	1	0	0	0	1	3	2	0	0	0
16S_ASV_430	233	32	19	0	0	0	0	0	0	2	3	2	3	1	0	0	0	0	0	0	0	0	0	0
16S_ASV_431	0	0	0	2	2	0	1	3	6	43	32	38	14	0	0	21	38	11	5	0	5	28	25	21
16S_ASV_432	0	16	3	85	2	26	1	0	6	0	1	0	0	0	0	0	0	1	0	0	153	0	0	0
16S_ASV_433	0	0	0	0	1	0	0	0	0	4	2	9	0	0	0	10	112	5	1	2	4	15	100	29
16S_ASV_434	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	1	1	285	1
16S_ASV_435	0	0	3	4	0	0	38	88	77	32	3	24	0	0	1	9	4	0	0	0	1	1	0	7
16S_ASV_436	0	0	0	0	0	3	1	0	1	1	0	0	0	6	0	4	37	81	26	2	21	23	27	57
16S_ASV_437	0	0	0	0	0	0	85	90	107	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0
16S_ASV_438	0	0	0	0	0	0	0	10	1	2	0	1	0	0	0	34	30	83	1	0	3	5	55	63
16S_ASV_439	0	0	0	0	0	0	148	70	57	1	0	0	2	0	0	0	0	0	1	4	3	0	0	0
16S_ASV_440	0	0	0	1	3	1	30	5	23	5	2	91	0	0	0	63	24	13	5	0	0	3	8	8
16S_ASV_441	0	0	0	0	0	2	2	0	2	9	7	5	5	3	0	28	53	13	3	2	11	61	36	43
16S_ASV_442	0	0	0	0	0	0	18	19	16	5	0	8	1	3	4	13	70	92	12	0	1	6	7	7
16S_ASV_443	0	0	0	0	2	6	0	0	0	0	1	0	0	0	0	2	22	238	2	2	1	1	0	3
16S_ASV_444	1	0	0	0	1	0	0	0	0	7	5	9	3	12	0	16	32	4	11	1	4	52	72	49
16S_ASV_445	0	0	0	0	0	17	0	9	6	3	60	5	14	5	5	12	4	13	9	1	1	20	65	30
16S_ASV_446	0	0	0	1	1	2	4	4	0	47	0	11	0	0	0	57	75	70	1	0	0	1	0	4
16S_ASV_447	5	4	9	2	18	13	9	1	8	12	7	2	2	1	0	20	23	32	23	1	52	13	1	19
16S_ASV_448	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	58	9	67	0	2	1	2	67	66
16S_ASV_449	0	0	0	0	0	0	77	94	94	2	2	1	0	2	0	0	0	0	2	2	1	0	0	0
16S_ASV_450	0	0	0	1	1	0	4	0	2	99	14	144	0	2	0	0	0	0	0	0	1	4	0	4
16S_ASV_451	7	17	20	14	8	17	1	0	1	9	9	19	17	14	22	10	17	7	19	10	16	3	8	9
16S_ASV_452	0	0	0	0	0	0	0	0	1	4	4	1	0	0	0	0	0	0	0	1	0	144	58	61
16S_ASV_453	0	2	0	0	0	1	4	4	4	18	24	12	1	0	0	38	61	12	0	2	0	25	37	28
16S_ASV_454	0	0	0	1	0	1	0	35	1	2	187	2	2	1	0	0	0	0	0	0	33	0	8	0
16S_ASV_455	0	0	0	0	1	0	87	99	81	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
16S_ASV_456	0	0	0	0	1	263	0	0	2	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0
16S_ASV_457	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3	4	19	12	223	2	1	4
16S_ASV_458	0	0	3	0	0	0	0	2	1	7	9	18	0	0	2	6	0	2	0	0	0	21	48	150
16S_ASV_459	0	0	0	3	0	43	2	4	14	3	12	4	0	3	1	97	8	69	1	0	0	2	3	0
16S_ASV_460	0	0	0	0	0	4	2	0	3	39	21	36	24	39	3	2	7	5	6	3	5	16	38	16
16S_ASV_461	0	0	0	1	158	94	0	1	1	0	3	0	0	0	0	0	5	1	0	0	0	4	0	0
16S_ASV_462	6	0	0	1	0	3	1	1	3	39	12	2	25	4	5	0	3	141	1	0	0	4	14	2
16S_ASV_463	0	0	0	1	0	0	0	0	0	6	4	1	0	0	0	6	1	1	0	0	0	101	99	47
16S_ASV_464	0	0	0	3	4	0	30	41	49	0	1	0	0	0	0	40	35	29	4	2	5	7	11	5
16S_ASV_465	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	48	15	17	1	0	4	68	55	53
16S_ASV_466	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	7	216	37
16S_ASV_467	45	9	23	3	48	0	1	4	6	2	1	0	69	9	2	0	3	0	9	18	9	0	0	0
16S_ASV_468	0	0	0	0	0	0	1	0	4	6	16	6	13	1	0	0	7	4	119	4	75	1	1	3
16S_ASV_469	17	0	15	0	0	0	1	0	0	39	33	30	4	0	1	4	0	108	4	1	0	2	0	1
16S_ASV_470	1	0	0	6	0	178	0	0	1	0	0	4	2	28	3	3	5	0	0	0	0	13	11	5
16S_ASV_471	0	0	0	1	1	0	0	0	0	2	4	4	0	0	0	3	19	2	2	4	0	38	170	10
16S_ASV_472	0	0	0	1	0	8	0	44	1	0	124	2	5	1	2	3	3	0	4	1	55	2	4	0
16S_ASV_473	4	0	3	0	0	8	0	0	1	8	24	2	0	0	0	8	3	145	4	0	2	31	13	3
16S_ASV_474	1	0	2	35	70	0	1	2	0	3	1	0	6	0	0	0	3	1	54	17	56	2	3	2
16S_ASV_475	1	0	0	23	27	150	3	0	3	2	1	2	0	9	22	1	3	0	2	0	2	0	4	4
16S_ASV_476	1	0	0	3	0	0	13	3	4	11	18	25	23	8	0	62	9	9	49	0	4	1	8	8
16S_ASV_477	0	0	0	1	0	0	0	1	1	11	5	16	6	0	2	19	48	4	1	3	1	50	74	16
16S_ASV_478	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	4	0	1	1	0	102	92	55
16S_ASV_479	0	0	0	3	0	19	3	10	0	7	0	14	3	14	0	66	4	31	18	10	8	35	1	12
16S_ASV_480	0	0	0	0	0	0	0	1	5	1	4	0	1	0	0	8	12	1	0	0	1	114	97	13
